"","state","heading","laws"
"1","maryland","
                                 Vehicle Title
                                
                                ","					
                Title Application
                Application for certificate of title is required for all motor vehicles. Trailers (not including camping or trailers with a lien) weighing less than 2,500 lbs. have the option to apply for registration only.
Applications for title must contain the owner’s name; address; a description of the vehicle, including make, model, year, vehicle identification number, type of body, and number of cylinders; a statement of the applicant’s title to and each security interest in the vehicle, as well as the name and address of each secured party with any security interest in the vehicle; and the applicant’s signature.
For a new vehicle, along with the completed application, an applicant must provide the MVA with a certificate of origin, a dealer’s reassignment, a dealer’s bill of sale, and an odometer disclosure statement.
An application for title is to be accompanied by any outstanding certificates of title issued for the vehicle.
Each certificate of title shall include the date of issuance, the name and address of the owner, the names and addresses of all secured parties, in the order of priority, the title number assigned to the vehicle, a description of the vehicle listed above, and the classification and weight for which the vehicle is registered.
Certificates of title will be mailed to the applicant.
Holders of certificates of title have 30 days to apply for a corrected certificate after a change of name or residence.
                                 "
"2","maryland","
                                 Vehicle Title
                                
                                ","			
                Title Transfer of Ownership
                If an owner transfers his interest in a vehicle, he shall, at the time of delivery of the vehicle, execute an assignment and warranty of title to the transferee, with a release for each security interest, lien, or other encumbrance on the vehicle, in the space provided on the certificate.
Applicants for certificates of title for a used vehicle purchased from a dealer must have, in addition to a completed application, a properly assigned title, a dealer’s reassignment, a dealer’s bill of sale, a Maryland safety inspection certificate, and an odometer disclosure statement.
Applicants for certificates of title for a used vehicle sold by someone other than a dealer must have, in addition to a completed application, a properly assigned certificate of title.
The transferee shall complete an application for a new certificate of title and mail or deliver it to the MVA or Maryland-licensed title service representative.
                                "
"3","maryland","
                                 Vehicle Title
                                
                                ","		                
                Titles for Mobile Homes
                Mobile homes in excess of 35 feet are not subject to the inspection, titling, or registration laws of Maryland, however, they may be titled. The Motor Vehicle Administration does not collect excise tax when issuing a title, however, before the vehicle can be titled, the state retail sales tax must be paid, a receipt obtained and submitted with the application for title and other required documents.
                                "
"4","maryland","
                                Vehicle Registration
                                
                                ","					
                Registration Application
                Each motor vehicle, trailer, semitrailer, and pole trailer driven on a highway shall be registered.
No vehicle may be registered until the owner of the vehicle has received a certificate of title or an application for a certificate of title.
A county Treasurer’s office may be authorized to renew vehicle registrations. Applicants who renew their registrations at these facilities must pay an additional fee.
If an application for registration and certificate of title is accompanied by the required fees, the MVA may issue a temporary registration card and plate to permit the vehicle to be driven pending the completion of a Maryland state safety inspection. The temporary registration is valid for 30 days.
The registration card issued by the MVA shall contain the date of issuance, the name and address of the owner, the registration number assigned, and a description of the vehicle.
There is no period of grace for late registration.
                                 "
"5","maryland","
                                Vehicle Registration
                                
                                ","					
                Registration for Non-Residents
                New residents must register their vehicles within 60 days of residing in Maryland.
Non-residents who occupy a dwelling in Maryland for at least 30 days, but less than 1 year, must obtain a non-resident’s permit from the MVA within 10 days immediately following the 30-day period.
Military personnel on active duty in Maryland need not register his/her vehicle in Maryland if the vehicle is registered in the state of his/her residence.
                                 "
"6","maryland","
                                Vehicle Registration
                                
                                ","					
                Registration Type
                A vehicle owner is required to carry the registration card in the vehicle at all times while operating the vehicle. A vehicle owner must display the registration card on demand of a police officer.
Registration expires at midnight on the date indicated on the registration card.
Holders of vehicle registrations have 30 days to apply for a corrected registration after a change of name or residence.
The registration of a vehicle expires upon transfer of title, unless the owner gives the transferee written permission to use the existing plates. A transferee that has been given permission to use the existing plates may not use them for more than 10 days. Within 10 days, the transferee shall return the plates to the MVA or the former owner. The former owner may transfer the plates from one vehicle to another. The transferee must apply for and obtain a new registration prior to using the vehicle on a highway.
Each registration renewal shall be for 2 years for non-commercial vehicles.
Vehicle registration classifications:
Class A: Passenger cars and station wagons.
Class B: “For hire” vehicles.
Class D: Motorcycles.
Class E: Single unit trucks with 2 or more axles (includes tow trucks).
Class F: Truck tractors.
Class G: Trailers and semitrailers.
Class L: Historic motor vehicles.
Class M: Multipurpose passenger vehicles.
Class N: Street rod vehicle
Class P: Passenger buses, charter or for hire.
"
"7","maryland","
                                Vehicle Registration
                                
                                ","					
                Emissions Inspection
                Vehicles must have an exhaust emissions test and emissions equipment and misfueling inspection every 2 years. Visit the Maryland Motor Vehicle Administration for more information.
Model year 1996 and newer passenger vehicles and light duty trucks, and model year 2008 and newer heavy duty vehicles up to 14,000 pounds are required to pass an On-Board Diagnostics test. An idle tailpipe test is required for model year 1977 – 1995 passenger vehicles and light duty trucks, and model year 1977 – 2007 heavy duty vehicles up to 14,000 pounds.
Motorcycles, Class E trucks with a Gross Vehicle Weight (GVW) over 26,000 lbs., historic vehicles, and cars prior to model year 1977 are not required to have an emissions test.
Vehicles passing the emissions test shall be issued a certificate with the date of inspection, vehicle information, the pass/fail status of all tests, and the expiration date of the certificate.
Owners must carry the inspection certificate at all times in the vehicle.
Vehicles that fail the test may be granted a two-year waiver if the owner has incurred an expenditure of $450 towards emissions-related repairs to the vehicle by a certified technician up to thirty days prior to testing and  120 days after the test and fails a retest.
A senior citizen, 70 years of age or older, and a disabled citizen with disabled registration plates, and whose vehicle is driven less than 5,000 miles per year, can request a waiver for the remainder of the 2-year test cycle.
OBD is utilized as part of the state emissions inspection process.
                                 "
"8","maryland","
                                Vehicle Registration
                                
                                ","					
                Safety Inspection
                An inspection is required whenever a used vehicle is sold or ownership is changed, or a vehicle from out-of-state is newly registered. Upon successful completion of an inspection, a certificate shall be issued that contains the vehicle’s information, certification date, name and address of the inspection station, and signature of authorized inspector.
Additionally, Maryland authorized inspection stations may participate in an online Maryland Safety Inspection System. This system provides an electronic record of vehicle safety inspections and permits submission of certification to the Motor Vehicle Administration for vehicles which pass inspection.
                                 "
"9","maryland","
                                Vehicle Registration
                                
                                ","					
                Title and Registration Fees
                
AUTOMOBILE
Title Fee: $100.00
Registration Fee: By weight *


MOTORCYCLE
Title Fee: $100.00
Registration Fee: $104.00


DUPLICATES
Plate Fee: $20.00
Registration Fee: $5.00
Driver’s License Fee: $20.00
Title Fee: $20.00
Special Plates: $15.00 – $50.00** plus additional annual fee when applicable

* $135.00 for vehicles 3,700 lbs. or less; $187.00 for vehicles over 3,700 lbs. $51.00 for historic motor vehicles.
** $15.00 (non-logo); $20.00 (bay or agricultural); $25.00 (logo); $50.00 (vanity).
                                 "
"10","maryland","
                                Vehicle Registration
                                
                                ","
AUTOMOBILE
Title Fee: $100.00
Registration Fee: By weight *
"
